 서울특별시 강남구 논현동,58-2,마일스디오빌,36.29,11~20,38000,5,2004,학동로
 서울특별시 강남구 논현동,58-2,마일스디오빌,36.29,21~30,38000,8,2004,학동로
 서울특별시 강남구 논현동,55,스위트캐슬레지던스,105.96,21~30,84000,1,2004,학동로7길
 서울특별시 강남구 논현동,22,신동아(22),84.52,1~10,84000,9,1997,강남대로146길
 서울특별시 강남구 논현동,22,신동아(22),114.34,21~30,95000,11,1997,강남대로146길
 서울특별시 강남구 논현동,103,쌍용,59.91,11~20,48000,3,1996,도산대로50길
 서울특별시 강남구 논현동,103,쌍용,84.87,1~10,63000,12,1996,도산대로50길
 서울특별시 강남구 논현동,103,쌍용,84.87,21~30,64500,8,1996,도산대로50길
 서울특별시 강남구 논현동,103,쌍용,84.87,21~30,63000,2,1996,도산대로50길
 서울특별시 강남구 논현동,276-1,아크로힐스논현,113.23,1~10,151500,5,2014,언주로
 서울특별시 강남구 논현동,46-3,요진보네르,72.51,1~10,49500,5,2003,학동로5길
 서울특별시 강남구 논현동,62-3,"청학아파트 에이동,비동,씨동",85.12,21~30,65000,3,1976,도산대로
 서울특별시 강남구 논현동,105-4,한진로즈힐,71.54,21~30,62500,2,2004,도산대로46길
 서울특별시 강남구 대치동,503,개포우성1,127.61,11~20,210500,9,1983,선릉로
 서울특별시 강남구 대치동,890-42,대치동우정에쉐르2(890-42),68.59,21~30,54800,4,2004,테헤란로68길
 서울특별시 강남구 대치동,1014-3,대치삼성,59.88,1~10,78000,2,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,59.88,1~10,83000,9,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,97.35,21~30,127000,4,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,108.52,21~30,120000,2,2000,도곡로78길
 서울특별시 강남구 대치동,1014-3,대치삼성,109.04,11~20,129000,5,2000,도곡로78길
 서울특별시 강남구 대치동,888,대치아이파크,59.96,1~10,100000,8,2008,선릉로
 서울특별시 강남구 대치동,63,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",84.69,1~10,125000,14,1984,영동대로
 서울특별시 강남구 대치동,63,"대치우성아파트1동, 2동, 3동, 5동, 6동, 7동",115.59,11~20,140000,1,1984,영동대로
 서울특별시 강남구 대치동,974,대치현대,59.82,1~10,70000,2,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,59.82,21~30,70000,3,1999,삼성로64길
 서울특별시 강남구 대치동,974,대치현대,85,1~10,97500,4,1999,삼성로64길
 서울특별시 강남구 대치동,988-4,대치효성,84.91,1~10,88000,16,1999,삼성로64길
 서울특별시 강남구 대치동,670,동부센트레빌,121.74,1~10,202800,21,2005,선릉로
 서울특별시 강남구 대치동,670,동부센트레빌,145.83,21~30,225000,28,2005,선릉로
 서울특별시 강남구 대치동,670,동부센트레빌,161.47,1~10,251000,11,2005,선릉로
 서울특별시 강남구 대치동,670,동부센트레빌,161.47,1~10,253800,21,2005,선릉로
 서울특별시 강남구 대치동,985,래미안 대치 하이스턴,110.39,1~10,140000,11,1989,도곡로93길
 서울특별시 강남구 대치동,985,래미안 대치 하이스턴,110.39,1~10,132000,5,1989,도곡로93길
 서울특별시 강남구 대치동,985,래미안 대치 하이스턴,110.39,11~20,140000,14,1989,도곡로93길
 서울특별시 강남구 대치동,1027,래미안대치팰리스,84.97,11~20,155000,5,2015,삼성로51길
 서울특별시 강남구 대치동,1027,래미안대치팰리스,94.49,21~30,170000,15,2015,삼성로51길
 서울특별시 강남구 대치동,1025,롯데캐슬리베,121.09,1~10,144500,15,2008,도곡로
 서울특별시 강남구 대치동,1025,롯데캐슬리베,121.09,11~20,142000,17,2008,도곡로
 서울특별시 강남구 대치동,506,선경1차(1동-7동),84.35,11~20,145000,2,1983,삼성로
 서울특별시 강남구 대치동,506,선경1차(1동-7동),136.68,1~10,195000,9,1983,삼성로
 서울특별시 강남구 대치동,506,선경2차(8동-12동),127.75,1~10,200000,3,1985,삼성로
 서울특별시 강남구 대치동,506,선경2차(8동-12동),127.75,1~10,201000,15,1985,삼성로
 서울특별시 강남구 대치동,890-49,선릉역대우아이빌(890-49),25.42,1~10,21000,15,2004,테헤란로64길
 서울특별시 강남구 대치동,889-74,아름빌(889-74),30.46,21~30,24500,4,2003,선릉로86길
 서울특별시 강남구 대치동,316,은마,76.79,1~10,115000,4,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,119000,4,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,119500,4,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,119800,9,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,1~10,120000,7,1979,삼성로
 서울특별시 강남구 대치동,316,은마,76.79,21~30,125000,7,1979,삼성로
 서울특별시 강남구 대치동,891-6,테헤란로대우아이빌(891-6),33.11,21~30,30950,10,2004,테헤란로
 서울특별시 강남구 대치동,511,한보미도맨션1,84.48,1~10,130000,1,1983,삼성로
 서울특별시 강남구 대치동,511,한보미도맨션2,159.15,1~10,210000,10,1985,삼성로
 서울특별시 강남구 도곡동,967,경남,59.76,21~30,64000,8,2005,논현로
 서울특별시 강남구 도곡동,960,대림,84.93,1~10,82000,6,1992,남부순환로365길
 서울특별시 강남구 도곡동,543-7,도곡1차아이파크,84.12,1~10,104500,7,2007,도곡로28길
 서울특별시 강남구 도곡동,543-7,도곡1차아이파크,84.12,21~30,97000,3,2007,도곡로28길
 서울특별시 강남구 도곡동,543-7,도곡1차아이파크,130.26,1~10,133000,5,2007,도곡로28길
 서울특별시 강남구 도곡동,543-7,도곡1차아이파크,130.26,11~20,129500,7,2007,도곡로28길
 서울특별시 강남구 도곡동,955,도곡그린빌,56.39,21~30,36000,5,1995,강남대로44길
